# 내장 aT 시프트 팩터 데이터
# 원본: R40_aT.txt
# T (°C)	aT
-2.932740000000000080e+01	7.108250000000000000e+05
-1.979820000000000135e+01	2.239579999999999927e+04
-9.810879999999999157e+00	1.406480000000000018e+03
2.821569999999999911e-01	1.129470000000000027e+02
1.046799999999999997e+01	1.006470000000000020e+01
2.019399999999999906e+01	1.000000000000000000e+00
2.994490000000000052e+01	1.129310000000000036e-01
3.995729999999999649e+01	1.430649999999999977e-02
4.995259999999999678e+01	2.148279999999999808e-03
5.995389999999999731e+01	4.113359999999999933e-04
6.996259999999999479e+01	8.480620000000000129e-05
7.995850000000000080e+01	2.700909999999999861e-05
