# 내장 마스터 커브 데이터
# 원본: R40_Master.txt
# freq (Hz)	E' (Pa)	E'' (Pa)
2.701000000000000059e-05	4.930269401791598648e+06	4.222262163888608920e+05
5.818999999999999683e-05	5.014366117840756662e+06	4.551182798618024681e+05
8.480999999999999607e-05	5.095504974206402898e+06	4.832190547760963673e+05
1.254000000000000123e-04	5.173797188008930534e+06	5.061142011577826925e+05
1.826999999999999957e-04	5.249376620937177911e+06	5.236989541772496304e+05
2.701000000000000059e-04	5.322398737775941379e+06	5.361516075572493719e+05
3.936000000000000262e-04	5.393039552504985593e+06	5.438889712504643248e+05
4.113000000000000228e-04	5.461494584800051525e+06	5.475119947273181751e+05
5.818999999999999954e-04	5.527977848762820475e+06	5.477492360938824713e+05
8.480999999999999607e-04	5.592720894608033821e+06	5.454044681831980124e+05
8.861999999999999652e-04	5.655971922891193070e+06	5.413129069231933681e+05
1.253999999999999906e-03	5.717994989716703072e+06	5.363087277539076749e+05
1.827000000000000065e-03	5.771089386785312556e+06	5.315434155549922725e+05
1.909000000000000107e-03	5.837553408459386788e+06	5.321561845859234454e+05
2.148000000000000170e-03	5.901835327836364508e+06	5.375683660998574924e+05
2.700999999999999842e-03	5.956047158848421648e+06	5.484450002800641814e+05
3.936000000000000262e-03	6.020948777110490948e+06	5.441131042683118721e+05
4.113000000000000336e-03	6.085477896537422203e+06	5.515316465652006445e+05
4.628000000000000169e-03	6.136206348147431388e+06	5.678109806645727949e+05
8.481000000000000691e-03	6.200207064808524214e+06	5.767576254264026647e+05
8.862000000000000086e-03	6.272238939651840366e+06	5.922455708392844535e+05
9.971999999999999961e-03	6.356002706563025713e+06	6.205517125603557797e+05
1.430999999999999980e-02	6.434817356722029857e+06	6.404383607185420115e+05
1.908999999999999933e-02	6.525094200880286284e+06	6.669785958398887888e+05
2.147999999999999909e-02	6.602076779516832903e+06	6.916400418919707881e+05
3.082000000000000017e-02	6.695954320434057154e+06	7.307699643149500480e+05
4.112999999999999989e-02	6.778272811100031249e+06	7.710508132943634409e+05
4.628000000000000169e-02	6.877117144428673200e+06	7.756556253719094675e+05
6.640999999999999681e-02	6.993556128809392452e+06	8.248798637478763703e+05
9.972000000000000308e-02	7.105756279926050454e+06	8.680162834551244741e+05
1.129000000000000004e-01	7.228356972281917930e+06	9.101501765888745431e+05
1.431000000000000050e-01	7.356884615478267893e+06	8.900167676966837607e+05
2.147999999999999909e-01	7.501081582017327659e+06	9.167126457959089894e+05
2.432999999999999885e-01	7.640651977251332253e+06	9.533359169526251499e+05
3.081999999999999740e-01	7.787087520857615396e+06	9.953845657184006413e+05
5.241999999999999993e-01	7.965718312586666085e+06	1.049199132060240488e+06
6.641000000000000236e-01	8.133222050077820197e+06	1.095788503920954652e+06
1.000000000000000000e+00	8.319238921724912710e+06	1.157588533660062356e+06
1.129000000000000004e+00	8.510492207364263013e+06	1.192068391325821634e+06
1.431000000000000050e+00	8.716472838974697515e+06	1.270698461894356646e+06
2.154999999999999805e+00	8.904175024060873315e+06	1.325131781334974803e+06
2.432999999999999829e+00	9.155397963617278263e+06	1.414422794067050563e+06
4.642000000000000348e+00	9.404472923530532047e+06	1.532202989888100419e+06
5.241999999999999993e+00	9.660649196313606575e+06	1.628259264679992106e+06
1.000000000000000000e+01	9.930123521175233647e+06	1.735721012476446340e+06
1.007000000000000028e+01	1.018331776148715615e+07	1.839322507882620674e+06
1.128999999999999915e+01	1.047198740486262739e+07	1.997482096925125690e+06
2.155000000000000071e+01	1.074645413652537949e+07	2.131632293709555175e+06
2.167999999999999972e+01	1.110195710227232426e+07	2.334433517238367349e+06
4.642000000000000171e+01	1.149662809188182279e+07	2.591660592761699110e+06
4.671999999999999886e+01	1.191633539244882762e+07	2.839830545173556078e+06
1.000000000000000000e+02	1.238396762184275314e+07	3.122314601759965066e+06
1.007000000000000028e+02	1.285803887084150128e+07	3.431397793027474545e+06
1.130000000000000000e+02	1.341850582025774382e+07	3.829511797293870244e+06
2.168000000000000114e+02	1.399780284698557295e+07	4.233899109807071276e+06
2.434000000000000057e+02	1.473279528570614755e+07	4.810313901684316806e+06
4.671999999999999886e+02	1.553890136361952126e+07	5.512918550939376466e+06
5.242999999999999545e+02	1.649942374115980789e+07	6.275140493799616583e+06
1.007000000000000000e+03	1.751975492321247980e+07	7.116602203059679829e+06
1.130000000000000000e+03	1.876230704790508747e+07	8.212019959664450958e+06
1.407000000000000000e+03	2.014324033735152707e+07	9.400479302465401590e+06
2.433000000000000000e+03	2.183921416171089932e+07	1.098770080362417363e+07
3.030000000000000000e+03	2.373786016258323193e+07	1.276958278902309202e+07
5.243000000000000000e+03	2.585129618411318213e+07	1.519519732461885549e+07
6.529000000000000000e+03	2.834075175652844086e+07	1.788501314613058046e+07
1.130000000000000000e+04	3.165214658236716315e+07	2.111421836330228671e+07
1.407000000000000000e+04	3.584796610514124483e+07	2.549357642744044214e+07
2.240000000000000000e+04	4.105510901063312590e+07	3.035125330087923631e+07
3.030000000000000000e+04	4.783286772686825693e+07	3.746998696313635260e+07
4.825000000000000000e+04	5.564005275632983446e+07	4.537373275462780893e+07
6.529000000000000000e+04	6.543559466656350344e+07	5.656108223662909865e+07
1.040000000000000000e+05	7.744252138842581213e+07	6.953385684290196002e+07
1.407000000000000000e+05	9.314366376710939407e+07	8.347525364941592515e+07
2.240000000000000000e+05	1.131895008007163405e+08	1.023350634112889022e+08
4.825000000000000000e+05	1.387116569699715078e+08	1.252287663712605685e+08
7.109000000000000000e+05	1.713345460331914723e+08	1.527791368002299666e+08
1.040000000000000000e+06	2.131931550452225804e+08	1.855973189041591585e+08
1.532000000000000000e+06	2.670970501369260550e+08	2.242303669566124678e+08
2.240000000000000000e+06	3.367469098934468627e+08	2.690912813831183314e+08
3.300000000000000000e+06	4.270198029194006920e+08	3.203720955752140880e+08
7.109000000000000000e+06	5.443440219214048386e+08	3.779435863641140461e+08
1.532000000000000000e+07	6.971899555598232746e+08	4.412491753910670280e+08
3.300000000000000000e+07	8.967103521604336500e+08	5.092052226158776283e+08
7.109000000000000000e+07	1.157571484891644239e+09	5.801244823216116428e+08
