# 내장 마스터 커브 데이터
# 원본: R60_Master.txt
# freq (Hz)	E' (Pa)	E'' (Pa)
3.537000000000000186e-05	5.136000000000000000e+06	3.837000000000000000e+05
7.619000000000000067e-05	5.265000000000000000e+06	4.383000000000000000e+05
1.432000000000000113e-04	5.460000000000000000e+06	5.405000000000000000e+05
1.642000000000000068e-04	5.434000000000000000e+06	4.173000000000000000e+05
3.085000000000000177e-04	5.587000000000000000e+06	5.412000000000000000e+05
3.536999999999999780e-04	5.640000000000000000e+06	8.125000000000000000e+05
4.979999999999999618e-04	5.743000000000000000e+06	5.043999999999999418e+05
6.646999999999999480e-04	5.935000000000000000e+06	5.117000000000000582e+05
7.619000000000000338e-04	5.931000000000000000e+06	5.474000000000000000e+05
1.072999999999999952e-03	6.040000000000000000e+06	5.336000000000000000e+05
1.431999999999999896e-03	6.163000000000000000e+06	6.979000000000000000e+05
1.642000000000000013e-03	6.246000000000000000e+06	6.033000000000000000e+05
2.311999999999999819e-03	6.226000000000000000e+06	7.232000000000000000e+05
2.566999999999999837e-03	6.218000000000000000e+06	6.690000000000000000e+05
3.085000000000000069e-03	6.276000000000000000e+06	7.650000000000000000e+05
3.537000000000000213e-03	6.455000000000000000e+06	4.659000000000000000e+05
4.980000000000000052e-03	6.573000000000000000e+06	7.638000000000000000e+05
5.531000000000000326e-03	6.468000000000000000e+06	7.757000000000000000e+05
6.647000000000000131e-03	6.757000000000000000e+06	8.473000000000000000e+05
1.072999999999999995e-02	6.836000000000000000e+06	8.262000000000000000e+05
1.192000000000000004e-02	6.800000000000000000e+06	9.368000000000000000e+05
1.431999999999999940e-02	6.931000000000000000e+06	6.107000000000000000e+05
1.553000000000000040e-02	6.980000000000000000e+06	8.838000000000000000e+05
2.312000000000000166e-02	7.181000000000000000e+06	8.188000000000000000e+05
2.566999999999999837e-02	7.306000000000000000e+06	9.871000000000000000e+05
3.345999999999999669e-02	7.254000000000000000e+06	1.004999999999999884e+06
4.979999999999999705e-02	7.484000000000000000e+06	7.723000000000000000e+05
5.530999999999999805e-02	7.505000000000000000e+06	1.191000000000000000e+06
7.209000000000000130e-02	7.704000000000000000e+06	1.121000000000000000e+06
1.192000000000000004e-01	8.051000000000000000e+06	1.145000000000000000e+06
1.302000000000000102e-01	8.071999999999999069e+06	1.158000000000000000e+06
1.552999999999999936e-01	8.109999999999999069e+06	1.285000000000000000e+06
2.566999999999999837e-01	8.412000000000000000e+06	1.040000000000000000e+06
2.803999999999999826e-01	8.501000000000000000e+06	1.303000000000000000e+06
3.346000000000000085e-01	8.646000000000000000e+06	1.377000000000000000e+06
6.041999999999999593e-01	9.064000000000000000e+06	1.510000000000000000e+06
7.208999999999999853e-01	9.041000000000000000e+06	1.668000000000000000e+06
1.000000000000000000e+00	9.633000000000000000e+06	1.729000000000000000e+06
1.302000000000000046e+00	9.613000000000000000e+06	1.740000000000000000e+06
1.552999999999999936e+00	9.828000000000000000e+06	1.894000000000000000e+06
2.154999999999999805e+00	1.019000000000000000e+07	1.985000000000000000e+06
2.803999999999999826e+00	1.033000000000000000e+07	2.128000000000000000e+06
4.642000000000000348e+00	1.092000000000000000e+07	2.399000000000000000e+06
6.041999999999999815e+00	1.111000000000000000e+07	2.753000000000000000e+06
8.987999999999999545e+00	1.220000000000000000e+07	2.922000000000000000e+06
1.000000000000000000e+01	1.184000000000000000e+07	3.064000000000000000e+06
1.301999999999999957e+01	1.238000000000000000e+07	3.613000000000000000e+06
1.935999999999999943e+01	1.313000000000000000e+07	3.657000000000000000e+06
2.155000000000000071e+01	1.299000000000000000e+07	4.163999999999999534e+06
4.171999999999999886e+01	1.448000000000000000e+07	4.857000000000000000e+06
4.642000000000000171e+01	1.470000000000000000e+07	5.922000000000000000e+06
8.987999999999999545e+01	1.643000000000000000e+07	6.868000000000000000e+06
9.621999999999999886e+01	1.737000000000000000e+07	6.746000000000000000e+06
1.000000000000000000e+02	1.733000000000000000e+07	8.809000000000000000e+06
1.935999999999999943e+02	1.909000000000000000e+07	9.794000000000000000e+06
2.073000000000000114e+02	1.987000000000000000e+07	9.431000000000000000e+06
4.171999999999999886e+02	2.334000000000000000e+07	1.469000000000000000e+07
4.466000000000000227e+02	2.357000000000000000e+07	1.345000000000000000e+07
8.987999999999999545e+02	2.978000000000000000e+07	2.193000000000000000e+07
9.622000000000000455e+02	2.935000000000000000e+07	1.964000000000000000e+07
1.362000000000000000e+03	3.347999999999999627e+07	2.253000000000000000e+07
2.073000000000000000e+03	3.780000000000000000e+07	2.881000000000000000e+07
2.935000000000000000e+03	4.309000000000000000e+07	3.327000000000000373e+07
4.466000000000000000e+03	5.075000000000000000e+07	4.300000000000000000e+07
6.323000000000000000e+03	5.854000000000000000e+07	4.950000000000000000e+07
9.622000000000000000e+03	7.095000000000000000e+07	6.601000000000000745e+07
1.362000000000000000e+04	8.183000000000000000e+07	7.314000000000000000e+07
2.935000000000000000e+04	1.166000000000000000e+08	1.063000000000000000e+08
3.168000000000000000e+04	1.193000000000000000e+08	1.079000000000000000e+08
6.323000000000000000e+04	1.698000000000000000e+08	1.527000000000000000e+08
6.824000000000000000e+04	1.750000000000000000e+08	1.562000000000000000e+08
1.362000000000000000e+05	2.491000000000000000e+08	2.222000000000000000e+08
1.470000000000000000e+05	2.613000000000000000e+08	2.194000000000000000e+08
3.168000000000000000e+05	3.847000000000000000e+08	2.942000000000000000e+08
6.824000000000000000e+05	5.458000000000000000e+08	3.725000000000000000e+08
8.064000000000000000e+05	4.097000000000000000e+08	2.445000000000000000e+08
1.470000000000000000e+06	7.063000000000000000e+08	4.089000000000000000e+08
1.737000000000000000e+06	9.679000000000000000e+08	4.619000000000000000e+08
3.168000000000000000e+06	1.027000000000000000e+09	5.903000000000000000e+08
3.743000000000000000e+06	1.297000000000000000e+09	6.015000000000000000e+08
8.064000000000000000e+06	1.485000000000000000e+09	6.206000000000000000e+08
1.737000000000000000e+07	1.725000000000000000e+09	6.331000000000000000e+08
3.743000000000000000e+07	1.986000000000000000e+09	6.353000000000000000e+08
8.064000000000000000e+07	2.549000000000000000e+09	8.852000000000000000e+08
