# 내장 마스터 커브 데이터
# 원본: R20_Master.txt
# freq (Hz)	E' (Pa)	E'' (Pa)
3.255999999999999997e-05	4.721202137774708681e+06	3.683017334713953896e+05
7.014999999999999751e-05	4.828146795513731427e+06	3.996817786254011444e+05
1.162999999999999944e-04	4.927118638093893416e+06	4.265652611236358644e+05
1.510999999999999865e-04	5.018422166112766601e+06	4.485429021296093124e+05
2.506000000000000198e-04	5.102463683154188097e+06	4.655396586633931147e+05
3.255999999999999997e-04	5.179742197893046774e+06	4.777826675061944406e+05
4.067000000000000194e-04	5.250840150368194096e+06	4.857490174439475522e+05
5.398999999999999503e-04	5.316414288305635564e+06	4.901038621397446841e+05
7.014999999999999751e-04	5.377186988741892390e+06	4.916383972398597398e+05
8.760999999999999907e-04	5.433938287015243433e+06	4.912151579915657057e+05
1.162999999999999971e-03	5.487498841627714224e+06	4.897256406447585323e+05
1.510999999999999973e-03	5.538744031470009126e+06	4.880629772474121419e+05
1.784999999999999911e-03	5.588072401915984228e+06	4.894119461552408175e+05
1.887999999999999921e-03	5.639768269165939651e+06	5.005793568925774889e+05
2.505999999999999981e-03	5.692222534164115787e+06	5.057560049201532966e+05
3.256000000000000213e-03	5.747121951706144027e+06	5.104899445299844956e+05
3.846000000000000026e-03	5.816322207304038107e+06	5.410808672692145919e+05
4.067000000000000302e-03	5.875897831525339745e+06	5.587404158866753569e+05
5.399000000000000153e-03	5.932035076835873537e+06	5.661771115284531843e+05
8.286999999999999228e-03	5.983231355152676813e+06	5.826118320864774287e+05
8.760999999999999691e-03	6.047010286992299370e+06	6.026277480185757158e+05
9.901999999999999344e-03	6.107670934153879061e+06	6.231171357447725022e+05
1.162999999999999971e-02	6.180761587863049470e+06	6.425773149440904381e+05
1.785000000000000128e-02	6.284489178455905989e+06	6.691711452712188475e+05
1.888000000000000095e-02	6.367358020729773678e+06	6.997649475755576277e+05
2.132999999999999827e-02	6.461120967508330010e+06	7.327246474377859849e+05
3.846000000000000113e-02	6.546055734278574586e+06	7.807260974980703322e+05
4.066999999999999782e-02	6.635543960916798562e+06	7.351696761736907065e+05
4.596000000000000085e-02	6.739509808250254951e+06	7.435517561175569426e+05
8.286999999999999922e-02	6.842002792619952932e+06	7.654721664437883301e+05
9.901999999999999691e-02	6.946322338065116666e+06	7.853250815988172544e+05
1.082000000000000045e-01	7.054748758661875501e+06	8.123945746437058551e+05
1.784999999999999920e-01	7.178329006917566992e+06	8.450825338607924059e+05
2.132999999999999896e-01	7.299706849768921733e+06	8.744636453607430449e+05
2.331999999999999906e-01	7.430053247739653103e+06	9.058069005867281230e+05
4.596000000000000085e-01	7.574355077384633012e+06	9.415601581598649500e+05
5.023999999999999577e-01	7.715883954557513818e+06	9.782847376646905905e+05
9.901999999999999691e-01	7.873994669743613340e+06	1.029353675872115069e+06
1.000000000000000000e+00	8.023466290119993500e+06	1.076551072856231127e+06
1.082000000000000073e+00	8.197628681803694926e+06	1.094316391736722318e+06
2.154999999999999805e+00	8.360664038637027144e+06	1.128813517944890773e+06
2.331999999999999851e+00	8.551550588974514976e+06	1.192135159876802936e+06
4.642000000000000348e+00	8.754947083856925368e+06	1.266203416734951083e+06
5.024000000000000021e+00	8.953228136605039239e+06	1.326986956336191157e+06
1.000000000000000000e+01	9.194596328835912049e+06	1.409130858547887299e+06
1.023000000000000043e+01	9.416222743447983637e+06	1.475125216477659298e+06
1.082000000000000028e+01	9.647624128275278956e+06	1.570344209016794804e+06
2.155000000000000071e+01	9.895149962940217927e+06	1.643399497880484443e+06
2.203999999999999915e+01	1.016378305767379701e+07	1.768408442957123742e+06
4.642000000000000171e+01	1.045897076737316512e+07	1.885908808964218711e+06
4.749000000000000199e+01	1.077636777402419969e+07	2.002425192361793248e+06
1.000000000000000000e+02	1.109245547647525929e+07	2.164885489587855991e+06
1.022999999999999972e+02	1.141171986612519063e+07	2.299307476442302577e+06
1.150000000000000000e+02	1.179869876773114502e+07	2.493858695872282609e+06
2.204000000000000057e+02	1.216534817644346878e+07	2.668677304019793868e+06
2.476999999999999886e+02	1.262493136728036776e+07	2.942825557098291814e+06
4.748999999999999773e+02	1.312564739607323706e+07	3.286993955391626339e+06
5.336000000000000227e+02	1.369267808087628707e+07	3.631170483855761588e+06
1.023000000000000000e+03	1.429379597767900489e+07	4.049385886269729584e+06
1.150000000000000000e+03	1.497508632973629609e+07	4.522567529627368785e+06
1.343000000000000000e+03	1.572314449986515939e+07	5.077417223554012366e+06
2.477000000000000000e+03	1.659290899887441844e+07	5.750367015361559577e+06
2.893000000000000000e+03	1.756674005935403705e+07	6.546731987735823728e+06
5.336000000000000000e+03	1.860779651349083334e+07	7.537485566520690918e+06
6.232000000000000000e+03	1.999156681827579066e+07	8.746967713748479262e+06
1.150000000000000000e+04	2.143138255411439016e+07	1.002928484445801936e+07
1.343000000000000000e+04	2.338808845734525099e+07	1.183299286317800544e+07
1.925000000000000000e+04	2.542492899264917523e+07	1.373154102351588942e+07
2.893000000000000000e+04	2.827724820879447460e+07	1.652913654579043575e+07
4.146000000000000000e+04	3.128064997515970469e+07	1.950196091270677745e+07
6.232000000000000000e+04	3.472434901747004688e+07	2.366107918051482737e+07
8.933000000000000000e+04	3.874754335480770469e+07	2.837273241980007663e+07
1.343000000000000000e+05	4.439291645413731784e+07	3.425198150302012265e+07
1.925000000000000000e+05	5.163094473455341160e+07	4.227656242396630347e+07
3.991000000000000000e+05	6.141802568680449575e+07	5.214228234233115613e+07
4.146000000000000000e+05	7.387218672987006605e+07	6.601013842657627910e+07
8.598000000000000000e+05	8.987145138242335618e+07	8.278148302656842768e+07
8.933000000000000000e+05	1.118486707564744800e+08	1.072035681279849857e+08
1.852000000000000000e+06	1.410254304672205448e+08	1.366410240152282119e+08
1.925000000000000000e+06	1.865762306119769216e+08	1.707087998198918104e+08
3.991000000000000000e+06	2.323790460319622159e+08	2.145229132407844961e+08
8.598000000000000000e+06	3.013637343201664686e+08	2.641790652614472508e+08
1.852000000000000000e+07	3.739998875691972971e+08	3.261814153415154815e+08
2.408000000000000000e+07	4.817577264397523999e+08	3.872151263140013218e+08
3.991000000000000000e+07	6.065352575641267300e+08	4.746196238319740891e+08
5.188000000000000000e+07	7.825055509452147484e+08	5.308592296419168711e+08
1.118000000000000000e+08	9.855858196869646311e+08	6.122012736650341749e+08
2.408000000000000000e+08	1.247395927603159904e+09	6.433781090371494293e+08
5.188000000000000000e+08	1.532259977378002405e+09	6.954643201160986423e+08
1.118000000000000000e+09	1.869892490434195757e+09	6.881425533089227676e+08
1.177000000000000000e+09	2.205981971059588909e+09	6.921413238549593687e+08
1.453000000000000000e+09	2.560554397604492664e+09	6.506163649953755140e+08
2.408000000000000000e+09	2.853056200119287491e+09	5.883231813242131472e+08
2.535000000000000000e+09	3.196059229742793560e+09	5.285887703044292927e+08
3.130000000000000000e+09	3.570641050956771851e+09	4.769065799483219385e+08
5.462000000000000000e+09	3.937085625281867981e+09	4.343363979928078055e+08
6.744000000000000000e+09	4.283142575855859280e+09	4.025135520808693171e+08
1.177000000000000000e+10	4.595903700055299759e+09	3.826308667475373745e+08
1.453000000000000000e+10	4.862523795117278099e+09	3.761045183234316111e+08
2.535000000000000000e+10	5.071036103140513420e+09	3.853452384284393787e+08
3.130000000000000000e+10	5.211197367288993835e+09	4.148472178091601729e+08
5.462000000000000000e+10	5.275284791330926895e+09	4.730498918133369088e+08
6.744000000000000000e+10	5.258762788916142464e+09	5.759570994998880625e+08
1.177000000000000000e+11	5.160743177326972008e+09	7.547820948836032152e+08
1.453000000000000000e+11	4.984178884707843781e+09	1.073211083540179014e+09
