# 내장 f,g 곡선 데이터
# strain	f(strain)	g(strain)
1.485000000000000046e-04	9.947000000000000286e-01	9.830999999999999739e-01
2.223000000000000095e-04	9.916000000000000369e-01	9.862999999999999545e-01
3.329000000000000145e-04	9.879999999999999893e-01	9.967000000000000304e-01
4.983000000000000233e-04	9.784000000000000474e-01	1.010000000000000009e+00
7.460000000000000268e-04	9.647999999999999909e-01	1.024999999999999911e+00
1.116999999999999937e-03	9.441000000000000503e-01	1.042000000000000037e+00
1.672000000000000092e-03	9.172000000000000153e-01	1.060000000000000053e+00
2.503000000000000017e-03	8.955999999999999517e-01	1.070999999999999952e+00
3.748000000000000029e-03	8.588000000000000078e-01	1.076999999999999957e+00
5.610000000000000403e-03	8.182000000000000384e-01	1.068000000000000060e+00
8.399000000000000216e-03	7.733999999999999764e-01	1.036999999999999922e+00
1.256999999999999958e-02	7.254000000000000448e-01	9.893999999999999462e-01
1.882999999999999952e-02	6.907999999999999696e-01	9.488999999999999657e-01
2.818000000000000019e-02	6.329000000000000181e-01	8.807000000000000384e-01
4.218999999999999834e-02	5.671000000000000485e-01	8.082000000000000295e-01
6.317000000000000393e-02	4.925999999999999823e-01	7.331999999999999629e-01
9.457000000000000128e-02	4.179999999999999827e-01	6.562000000000000055e-01
1.416000000000000036e-01	3.739999999999999991e-01	6.007000000000000117e-01
2.119999999999999940e-01	3.179000000000000159e-01	4.899999999999999911e-01
3.173000000000000265e-01	3.037000000000000255e-01	4.132000000000000117e-01
